ROUND,Bank,Zion,Neo,Trinity,Keymaker,Morpheus,Oracle,Seraph,Bane,Agent,Niobe,Persephone,Twins,Bugs,Analyst,Architect
0,10000,80000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,9961,79954,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2,9930,79916,9998,9998,9998,9998,9998,9998,9998,9999,9998,9998,9998,9998,9998,9998
3,9922,79915,9998,9997,10000,9997,10008,9997,9996,9999,9998,9998,9998,9997,9996,9997
4,9898,79845,9998,9995,9998,9973,10006,9989,9988,9999,9998,9998,10006,9989,9994,9995
5,9898,79797,9998,9987,9990,9965,9998,9981,9980,9999,9998,9998,10006,9981,9986,9987
6,9864,79770,9997,10051,9982,9957,9982,9973,9964,9999,9998,9998,10230,9973,9954,9986
7,9870,79768,9997,10050,9981,9955,9981,9971,9963,9999,9998,9998,10230,9972,9951,9984
8,9822,79684,9997,10042,9973,9947,9973,9969,9961,9989,10034,9998,10230,9964,9949,10016
9,9790,79452,9989,10010,9941,9915,9941,9937,9929,9989,10034,9838,10230,9932,9917,10008
10,9662,75996,9349,9498,9813,9403,9429,9425,9417,9989,10034,9838,10230,9420,9405,9880
11,17708,84688,9349,9497,9301,9405,9428,10000,10000,9989,10036,9838,7670,9418,8893,9368
12,17724,84668,9349,9485,9297,9401,9424,9996,9992,9989,10036,9838,7670,9410,8889,9364
13,17980,84860,9349,9525,9249,9385,9408,9980,9984,9989,10036,9758,7590,9394,8873,9348
14,17977,84933,9349,9509,9296,9433,9407,9979,9983,9989,10036,9758,7590,9393,8872,9332
15,17951,84891,9349,9508,9290,9427,9408,9977,9981,9989,10036,9766,7601,9391,8870,9326
16,17951,84849,9349,9502,9284,9421,9402,9971,9969,9989,10036,9766,7601,9385,8864,9320
17,17951,84813,9349,9496,9278,9415,9396,9965,9963,9959,10036,9766,7601,9379,8858,9314
18,17950,84977,9349,9492,9277,9414,9395,9963,10137,9959,10036,9783,7596,9376,8852,9313
19,17950,84953,9349,9488,9273,9410,9391,9959,10133,9959,10036,9783,7596,9372,8848,9309
20,17950,84929,9349,9484,9269,9406,9387,9955,10129,9959,10036,9783,7596,9368,8844,9305
21,17950,84905,9349,9480,9265,9402,9383,9951,10125,9959,10036,9783,7596,9364,8840,9301
22,17946,85023,9349,9476,9401,9398,9379,9950,10124,9959,10036,9783,7608,9363,8836,9297
